Date,Open,High,Low,Close,Adj Close,Volume
1/29/1993,43.9687,43.9687,43.75,43.9375,27.744249,1003200
2/1/1993,43.9687,44.25,43.9687,44.25,27.941589,480500
2/2/1993,44.2187,44.375,44.125,44.3437,28.00075,201300
2/3/1993,44.4062,44.8437,44.375,44.8125,28.296768,529400
2/4/1993,44.9687,45.0937,44.4687,45,28.415157,531500
2/5/1993,44.9687,45.0625,44.7187,44.9687,28.395399,492100
2/8/1993,44.9687,45.125,44.9062,44.9687,28.395399,596100
2/9/1993,44.8125,44.8125,44.5625,44.6562,28.198069,122100
2/10/1993,44.6562,44.75,44.5312,44.7187,28.237532,379600
2/11/1993,44.7812,45.125,44.7812,44.9375,28.375711,19500
2/12/1993,44.875,44.875,44.5937,44.5937,28.158596,42500
2/16/1993,44.4687,44.4687,43.4062,43.4687,27.448231,374800
2/17/1993,43.4687,43.5312,43.2812,43.4375,27.428532,210900
2/18/1993,43.9375,43.9375,42.8125,43.4062,27.408766,378100
2/19/1993,43.4062,43.5625,43.3437,43.5625,27.507448,34900
2/22/1993,43.6875,43.7812,43.5625,43.7187,27.606073,513600
2/23/1993,43.8437,43.875,43.4687,43.6875,27.586403,373700
2/24/1993,43.7187,44.25,43.7187,44.25,27.941589,26300
2/25/1993,44.2187,44.375,44.125,44.3437,28.00075,44500
2/26/1993,44.4375,44.4375,44.1875,44.4062,28.040209,66200
3/1/1993,44.5625,44.5625,44.2187,44.2812,27.961273,66500
3/2/1993,44.3125,44.9375,44.25,44.9375,28.375711,182400
3/3/1993,45,45.1562,44.9375,45.125,28.494099,280100
3/4/1993,45.1875,45.1875,44.875,44.875,28.336239,89500
3/5/1993,44.9375,45.125,44.7187,44.75,28.257307,40000
3/8/1993,44.8437,45.75,44.8437,45.75,28.888746,50800
3/9/1993,45.6562,45.6875,45.5,45.5937,28.790049,169300
3/10/1993,45.5937,45.6875,45.4062,45.6875,28.849277,194400
3/11/1993,45.7187,45.8437,45.5,45.5625,28.770374,70900
3/12/1993,45.1875,45.2187,44.8125,45.0937,28.474321,643600
3/15/1993,45.0625,45.3125,45.0625,45.3125,28.612499,310800
3/16/1993,45.3125,45.4375,45.3125,45.3125,28.612499,30800
3/17/1993,45.25,45.25,44.9687,45.0312,28.434866,21800
3/18/1993,45.2187,45.5,45.2187,45.3125,28.612499,59300
3/19/1993,45.2812,45.2812,45.0312,45.0312,28.569159,66900
3/22/1993,44.5937,44.875,44.5625,44.7812,28.410553,183400
3/23/1993,44.9062,44.9375,44.8125,44.875,28.470051,55200
3/24/1993,44.8125,45.0625,44.5937,44.875,28.470051,37200
3/25/1993,44.9062,45.25,44.8437,45.1562,28.648472,110100
3/26/1993,45.125,45.1562,44.875,44.9062,28.489859,101500
3/29/1993,44.9375,45.3125,44.9375,45.0937,28.608809,87100
3/30/1993,45.1562,45.2187,45.0937,45.2187,28.688108,56000
3/31/1993,45.3437,45.4687,45.1875,45.1875,28.668306,111600
4/1/1993,45.25,45.25,44.9375,45.0312,28.569159,129500
4/2/1993,44.6562,44.6562,44.0937,44.0937,27.974377,59400
4/5/1993,44.4375,44.4375,44.1875,44.3125,28.113207,172200
4/6/1993,44.4062,44.4062,44.0625,44.1875,28.033884,129700
4/7/1993,44.25,44.3437,44.1562,44.3437,28.132998,28000
4/8/1993,44.5312,44.5312,44.0937,44.2812,28.093348,180800
4/12/1993,44.7187,44.9375,44.6562,44.9062,28.489859,348500
4/13/1993,44.875,45.1562,44.8437,45,28.549374,146100
4/14/1993,45.0312,45.0625,44.9062,44.9375,28.50971,119600
